date,forecast,lower,upper,category,risk_buffer,day_name
2026-01-01,13756.871478687644,12925.271766648859,14588.47119072643,Total,831.5997120387856,Thursday
2026-01-02,14110.00100781952,13278.401295780732,14941.600719858303,Total,831.5997120387838,Friday
2026-01-03,13944.791739064076,13113.19202702529,14776.391451102862,Total,831.5997120387856,Saturday
2026-01-04,12149.417690614224,11317.81797857544,12981.017402653011,Total,831.5997120387874,Sunday
2026-01-05,11309.257324312894,10477.65761227411,12140.857036351681,Total,831.5997120387874,Monday
2026-01-06,11493.456816223937,10661.857104185152,12325.056528262723,Total,831.5997120387856,Tuesday
2026-01-07,11283.918097264555,10452.318385225768,12115.517809303341,Total,831.5997120387856,Wednesday
2026-01-08,11628.592097075134,10930.75063157313,12326.433562577138,Total,697.8414655020042,Thursday
2026-01-09,11978.2836665017,11280.442200999696,12676.125132003704,Total,697.8414655020042,Friday
2026-01-10,12082.133855838165,11384.292390336162,12779.975321340167,Total,697.8414655020024,Saturday
2026-01-11,11054.91274041674,10357.071274914737,11752.754205918744,Total,697.8414655020042,Sunday
2026-01-12,10838.553814576533,10140.71234907453,11536.395280078537,Total,697.8414655020042,Monday
2026-01-13,11137.417805162324,10439.57633966032,11835.259270664326,Total,697.8414655020024,Tuesday
2026-01-14,11407.826817400928,10709.985351898926,12105.668282902932,Total,697.8414655020042,Wednesday
2026-01-15,11869.838185662236,11126.79688575783,12612.87948556664,Total,743.0412999044038,Thursday
2026-01-16,12289.329211836372,11546.287911931966,13032.370511740777,Total,743.0412999044056,Friday
2026-01-17,12380.341367593885,11637.300067689477,13123.38266749829,Total,743.0412999044056,Saturday
2026-01-18,11030.446797896511,10287.405497992106,11773.488097800917,Total,743.0412999044056,Sunday
2026-01-19,10868.539913928225,10125.49861402382,11611.581213832633,Total,743.0412999044074,Monday
2026-01-20,10915.747060811085,10172.70576090668,11658.788360715489,Total,743.0412999044038,Tuesday
2026-01-21,11105.162803103416,10362.12150319901,11848.20410300782,Total,743.0412999044038,Wednesday
2026-01-22,11649.889731400488,10815.648526434492,12484.130936366484,Total,834.2412049659961,Thursday
2026-01-23,11925.013706688636,11090.77250172264,12759.254911654632,Total,834.2412049659961,Friday
2026-01-24,12160.574235132859,11326.333030166863,12994.815440098855,Total,834.2412049659961,Saturday
2026-01-25,11024.665725417915,10190.424520451917,11858.90693038391,Total,834.2412049659943,Sunday
2026-01-26,10956.268272560063,10122.027067594066,11790.509477526059,Total,834.2412049659961,Monday
2026-01-27,11077.134586289998,10242.893381324004,11911.375791255994,Total,834.2412049659961,Tuesday
2026-01-28,11615.641519343135,10781.400314377139,12449.882724309131,Total,834.2412049659961,Wednesday
2026-01-29,12084.701141765454,11164.639947168107,13004.7623363628,Total,920.0611945973469,Thursday
2026-01-30,12392.724526109161,11472.663331511814,13312.785720706508,Total,920.0611945973469,Friday
2026-01-31,12466.917147979906,11546.85595338256,13386.978342577255,Total,920.0611945973487,Saturday
2026-02-01,11484.161927093572,10564.100732496225,12404.223121690919,Total,920.0611945973469,Sunday
2026-02-02,11134.941747100076,10214.880552502727,12055.002941697423,Total,920.0611945973469,Monday
2026-02-03,11193.273100851815,10273.211906254468,12113.334295449164,Total,920.0611945973487,Tuesday
2026-02-04,11504.552596245521,10584.491401648174,12424.613790842868,Total,920.0611945973469,Wednesday
2026-02-05,11887.788528236424,10901.386056810921,12874.190999661927,Total,986.4024714255029,Thursday
2026-02-06,12266.375610651834,11279.973139226331,13252.778082077337,Total,986.4024714255029,Friday
2026-02-07,12273.805254397877,11287.402782972375,13260.20772582338,Total,986.4024714255029,Saturday
2026-02-08,11450.292113020287,10463.889641594784,12436.69458444579,Total,986.4024714255029,Sunday
2026-02-09,11168.236466559505,10181.833995134002,12154.638937985008,Total,986.4024714255029,Monday
2026-02-10,11242.713374326262,10256.31090290076,12229.115845751765,Total,986.4024714255029,Tuesday
2026-02-11,11574.450280799689,10588.047809374184,12560.85275222519,Total,986.4024714255011,Wednesday
2026-02-12,12060.995539533515,11204.217775468798,12917.773303598231,Total,856.7777640647164,Thursday
2026-02-13,12461.77150871392,11604.993744649204,13318.549272778637,Total,856.7777640647164,Friday
2026-02-14,12462.646900072335,11605.869136007619,13319.424664137052,Total,856.7777640647164,Saturday
2026-02-15,11544.840760787363,10688.062996722649,12401.618524852081,Total,856.7777640647182,Sunday
2026-02-16,11331.648364041408,10474.870599976692,12188.426128106124,Total,856.7777640647164,Monday
2026-02-17,11325.261561928448,10468.483797863732,12182.039325993164,Total,856.7777640647164,Tuesday
2026-02-18,11610.413793812362,10753.636029747646,12467.191557877079,Total,856.7777640647164,Wednesday
2026-02-19,12155.98001885995,11319.8612756263,12992.0987620936,Total,836.1187432336501,Thursday
2026-02-20,12461.410402295238,11625.291659061588,13297.529145528888,Total,836.1187432336501,Friday
2026-02-21,12549.523175895709,11713.404432662059,13385.641919129359,Total,836.1187432336501,Saturday
2026-02-22,11664.417821917817,10828.29907868417,12500.536565151466,Total,836.1187432336483,Sunday
2026-02-23,11538.987165968525,10702.868422734875,12375.105909202175,Total,836.1187432336501,Monday
2026-02-24,11613.217555967583,10777.098812733935,12449.336299201233,Total,836.1187432336501,Tuesday
2026-02-25,12090.35633510623,11254.237591872581,12926.47507833988,Total,836.1187432336501,Wednesday
