category,horizon_week,interval_half_width,target_coverage
Beauty,1,185.56726180546002,0.8
Beauty,2,115.83338567245369,0.8
Beauty,3,104.48649973856527,0.8
Beauty,4,150.29462586084856,0.8
Beauty,5,183.08678796600043,0.8
Beauty,6,171.09779016249536,0.8
Beauty,7,100.77713905022847,0.8
Beauty,8,135.82298923353278,0.8
Electronics,1,204.66409071138514,0.8
Electronics,2,183.96527917595404,0.8
Electronics,3,201.51645454588925,0.8
Electronics,4,225.43005221160638,0.8
Electronics,5,241.4293675342792,0.8
Electronics,6,312.11413376450855,0.8
Electronics,7,287.4575382451776,0.8
Electronics,8,228.18700281313113,0.8
Grocery,1,293.6689105827845,0.8
Grocery,2,247.35961192872765,0.8
Grocery,3,265.05798776761276,0.8
Grocery,4,265.1343675054013,0.8
Grocery,5,313.8221148091652,0.8
Grocery,6,310.1494133570259,0.8
Grocery,7,294.49809152351736,0.8
Grocery,8,325.3429913229238,0.8
Home,1,147.69944893915635,0.8
Home,2,150.6831887248677,0.8
Home,3,171.9803578523381,0.8
Home,4,193.38215938814005,0.8
Home,5,181.72292428790388,0.8
Home,6,193.04113414147332,0.8
Home,7,174.0449952457941,0.8
Home,8,146.765759864061,0.8
